country,"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %),"Age dependency ratio, old (% of working-age population)"
Luxembourg,4.727,43.20851274,23.00659685,0.264836618,0.686268791,10.4,,7.1,0.02,,,100,69.07166,,34.27727,,1.389000058,10.76299953,87.84799957,1.41,62316359824,1.54566061,33.8,9.42587,23.1,41,7.2,12.1,16.7,10.9308953,82.68536585,61.93076763,0.576459302,134.1420148,16.06511125,69.82818334,14.10670541,245.4057613,2.430976418,,295911,300425,596336,0.2,0.5,0.3,2.5,9.273,79.50063886,2590,25.98080987,90.727,2.725717863,20.2019159
Ireland,7.515,54.10677358,33.292109,1.172684273,0.385940447,12.9,99.7,6.3,0.98784,31.16192,11.37665,86.1611,42.9488,,36.65642,70.77677,5.058000088,18.82600021,76.11699677,1.81,3.35E+11,8.145296135,31.8,13.45282,22.1,40.2,8,12.9,16.9,35.75441921,81.95609756,67.60424357,0.310631929,103.0630014,21.60327639,64.89006852,13.50665509,69.78353898,1.088675561,39.27217379,2426140,2381248,4807388,0.2,0.5,0.2,2.5,37.053,56.38065496,70280,18.38550333,62.947,1.422846879,20.81466458
Iceland,6.269,52.47404737,30.47891376,4.592044665,0,11.9,97.9,6.5,,,,,,,,,3.756999969,17.4829998,78.76000214,1.74,24489493459,4.603781379,,16.83943,,,,,,19.61248039,82.20487805,48.39626438,,122.8081928,19.98965289,65.5848059,14.4255412,3.425436409,2.345582676,,171121,172279,343400,,,0.1,2.5,6.227,63.77134687,103000,24.15649925,93.773,2.385884023,21.9951336
Switzerland,2.763,49.9325805,22.29870964,0.664136891,0.426887575,10.3,,7.9,2.93416,36.94929,19.96821,97.08526,,,38.98196,85.68177,3.108999968,20.51499939,76.3769989,1.54,6.79E+11,1.616692155,32.3,15.52673,22.6,40.2,7.8,12.5,16.8,24.73693753,83.60243902,83.85625843,0.681602395,131.1359393,14.87249468,66.69663819,18.43086713,213.8839911,0.933155889,21.75171258,4263869,4187971,8451840,0,0,,2.5,26.239,71.47983236,41290.40039,10.4934186,73.761,0.962986439,27.63387086
Austria,7.34,49.6725857,21.29979309,1.20180048,0.461088216,10,98.4,9.5,0.94266,14.24863,11.40084,,30.62837,,28.43347,79.66258,3.930000067,24.92200089,71.14800262,1.53,4.17E+11,2.55088076,30.5,10.95385,22.9,38.4,7.9,13.2,17.6,25.27695588,81.64146341,82.47392737,0.756179042,123.1192958,14.23091937,66.81250731,18.95657332,106.6074453,0.694621104,36.75422013,4478340,4319226,8797566,0.7,0.7,,2.5,41.906,62.71888904,83879.00391,25.38010561,58.094,1.020478626,28.37279261
United Kingdom,13.37,56.06989604,27.52294085,0.593034154,0.436539217,11.4,,9.2,1.00102,33.92213,11.99042,99.74782,44.09417,100,44.09417,77.11173,1.159000039,18.23699951,80.60399628,1.79,2.64E+12,1.822927774,33.2,13.8311,23,40.6,7.5,12.2,16.8,17.92573193,81.15609756,41.11736002,1.771093843,118.6209558,17.63500937,64.07385559,18.29113504,273.049473,0.703806068,16.23399949,33464674,32594185,66058859,0.2,0.2,0.2,2.5,16.857,70.5643314,243610,25.71953266,83.143,1.013390544,28.54695519
Belgium,4.651,55.3290794,26.4626028,0.662105837,0.635247712,10.5,,9.6,0.64815,34.68994,14.917,86.50417,36.38061,95.87033,35.12408,69.15045,1.164000034,20.75699997,78.08000183,1.68,4.95E+11,1.734389656,27.7,12.33788,22.7,36.5,8.6,14,18.1,19.61448126,81.43902439,169.6233788,0.910370733,104.7403936,17.03647926,64.37944165,18.58407909,375.6657199,0.385228018,18.25067783,5766141,5609017,11375158,0,0.2,,2.5,2.039,68.94414407,30530,23.66287205,97.961,0.428116624,28.8664766
Spain,7.725,51.16971897,22.22699482,2.686657767,0.854974848,8.4,,9,0.66018,21.93634,12.92428,77.72236,31.16157,91.91672,31.10641,50.41699,4.353000164,20.05699921,75.58999634,1.34,1.31E+12,2.979182401,36.2,9.97324,23.5,42.1,5.8,11.7,17,21.87446145,83.32926829,51.09219836,1.22599306,112.5612499,14.70333798,66.15081329,19.14584873,93.26780444,0.235648507,17.16317944,23723820,22869416,46593236,1,1.5,0.4,2.5,19.92,66.10592814,505935,13.80711452,80.08,0.535799085,28.94272415
Netherlands,3.788,54.19074121,25.21501141,1.855594964,0.449997141,9.9,,8.8,0.62743,31.09321,11.72917,90.36832,33.29138,98.51498,33.03968,71.10496,2.267999887,16.52400017,81.20700073,1.66,8.32E+11,2.91090257,28.2,12.80686,22.4,37.3,8.9,13.9,17.5,17.70313732,81.56097561,147.4749139,1.158526989,120.6250011,16.35312998,64.85473799,18.79213202,508.4979519,0.591203366,7.197998804,8607750,8523546,17131296,0,0.2,0.2,2.5,8.923,70.06662639,41540,23.10030807,91.077,1.077686106,28.9757298
Denmark,4.123,56.61999565,25.82929421,1.426822932,0.502371529,10.6,94.4,8.2,0.77864,32.35884,12.72571,93.80911,37.11665,,37.11665,79.27773,2.210000038,18.80400085,78.98699951,1.79,3.30E+11,2.262369008,28.2,,21.8,37.7,9.4,13.9,17.2,20.10994165,81.00487805,59.37964656,1.146016169,124.4344914,16.49169248,63.84881462,19.6594929,137.2941176,0.643350904,25.7744497,2897965,2867015,5764980,0.2,0.2,0.1,2.5,12.243,65.37197029,42920,33.32344521,87.757,0.774461185,30.79070144
