country,date,Income share held by fourth 20%,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Literacy rate, adult total (% of people ages 15 and above)",Births attended by skilled health staff (% of total),"Literacy rate, youth total (% of people ages 15-24)","Prevalence of underweight, weight for age (% of children under 5)",Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Prevalence of HIV, total (% of population ages 15-49)",Population in the largest city (% of urban population),Armed forces personnel (% of total labor force),Military expenditure (% of GDP),Employment in agriculture (% of total employment) (modeled ILO estimate),"Population, male",Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Tax revenue (% of GDP),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),Merchandise trade (% of GDP),Prevalence of undernourishment (% of population),"Population, female","Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)",GDP (current US$),"Industry (including construction), value added (% of GDP)",GDP growth (annual %),"Life expectancy at birth, total (years)",Rural population (% of total population),"Birth rate, crude (per 1,000 people)","Fertility rate, total (births per woman)","Death rate, crude (per 1,000 people)",Mobile cellular subscriptions (per 100 people),Urban population growth (annual %),Urban population (% of total population)
Austria,1960,,,,,,67865.0,62685.0,58463.0,55121.0,52579.0,50759.0,49582.0,48967.0,48835.0,49108.0,49677.0,50432.0,51443.0,52689.0,54003.0,55341.0,56836.0,57344.0,56327.0,54317.0,52423.0,50475.0,48675.0,47255.0,46131.0,44896.0,3282797.0,46.5807628105159,,,64553.0,,59895.0,,56071.0,,53016.0,,50665.0,,48952.0,,47813.0,,47182.0,,46995.0,,47186.0
Austria,1961,,,,,,68751.0,66843.0,62310.0,58499.0,55368.0,52879.0,50953.0,49509.0,48704.0,48574.0,48963.0,49568.0,50321.0,51326.0,52565.0,53870.0,55199.0,56684.0,57186.0,56174.0,54174.0,52290.0,50351.0,48559.0,47143.0,46020.0,3303028.0,46.6114640706643,,,65372.0,,63689.0,,59600.0,,56135.0,,53263.0,,50955.0,,49146.0,,47771.0,,46971.0,,46787.0
Austria,1962,,,,,,68717.0,65465.0,65946.0,62051.0,58642.0,55718.0,53276.0,51239.0,49528.0,48531.0,48403.0,48909.0,49552.0,50303.0,51305.0,52538.0,53837.0,55159.0,56636.0,57135.0,56125.0,54132.0,52254.0,50320.0,48533.0,47117.0,3325774.0,46.6456825334547,,,65384.0,,62527.0,,62916.0,,59390.0,,56278.0,,53586.0,,51319.0,,49410.0,,47797.0,,46828.0
Austria,1963,,,,,,67987.0,66237.0,64338.0,65108.0,61849.0,58840.0,56118.0,53722.0,51573.0,49592.0,48403.0,48275.0,48899.0,49581.0,50331.0,51331.0,52560.0,53853.0,55169.0,56640.0,57136.0,56128.0,54140.0,52265.0,50336.0,48551.0,3349873.0,46.6828504226553,,,64778.0,,63265.0,,61575.0,,62186.0,,59219.0,,56459.0,,53945.0,,51716.0,,49707.0,,47854.0
Austria,1964,,,,,,66938.0,66647.0,65822.0,64556.0,64262.0,61640.0,59031.0,56513.0,54163.0,51902.0,49651.0,48269.0,48143.0,48883.0,49604.0,50353.0,51351.0,52576.0,53863.0,55173.0,56638.0,57131.0,56124.0,54141.0,52271.0,50346.0,3375100.0,46.7219471200127,,,63870.0,,63659.0,,62933.0,,61780.0,,61444.0,,59039.0,,56632.0,,54296.0,,52106.0,,49997.0
Austria,1965,,,,,,65866.0,66748.0,66824.0,66210.0,65024.0,63381.0,61398.0,59192.0,56879.0,54575.0,52203.0,49684.0,48109.0,47985.0,48843.0,49601.0,50349.0,51344.0,52564.0,53845.0,55149.0,56606.0,57095.0,56091.0,54114.0,52250.0,3400030.0,46.7622311589872,,,62907.0,,63752.0,,63843.0,,63287.0,,62194.0,,60672.0,,58830.0,,56776.0,,54620.0,,52470.0
Austria,1966,,,,,,64940.0,66129.0,66810.0,66761.0,66085.0,64887.0,63284.0,61391.0,59251.0,56942.0,54606.0,52227.0,49714.0,48145.0,48028.0,48893.0,49659.0,50413.0,51416.0,52644.0,53935.0,55247.0,56713.0,57206.0,56202.0,54220.0,3426982.0,46.8034839455029,,,62059.0,,63180.0,,63838.0,,63810.0,,63195.0,,62089.0,,60602.0,,58841.0,,56848.0,,54698.0
Austria,1967,,,,,,64031.0,66153.0,66368.0,66848.0,66673.0,65936.0,64728.0,63165.0,61363.0,59289.0,56985.0,54618.0,52232.0,49725.0,48164.0,48053.0,48925.0,49698.0,50459.0,51468.0,52706.0,54005.0,55326.0,56799.0,57296.0,56292.0,3455792.0,46.8455089839787,,,61194.0,,63193.0,,63428.0,,63898.0,,63753.0,,63078.0,,61960.0,,60508.0,,58830.0,,56898.0
Austria,1968,,,,,,62963.0,65318.0,66802.0,66591.0,66870.0,66570.0,65772.0,64553.0,63030.0,61319.0,59313.0,57015.0,54616.0,52225.0,49725.0,48171.0,48067.0,48946.0,49726.0,50492.0,51509.0,52754.0,54063.0,55392.0,56871.0,57373.0,3476922.0,46.8878422050919,,,60155.0,,62391.0,,63811.0,,63658.0,,63940.0,,63677.0,,62944.0,,61814.0,,60397.0,,58802.0
Austria,1969,,,,,,61481.0,64025.0,65798.0,66870.0,66825.0,66903.0,66478.0,65618.0,64388.0,62906.0,61286.0,59346.0,57053.0,54623.0,52226.0,49733.0,48186.0,48089.0,48975.0,49761.0,50534.0,51558.0,52812.0,54130.0,55466.0,56953.0,3492071.0,46.9297825743983,,,58709.0,,61147.0,,62853.0,,63896.0,,63892.0,,63986.0,,63606.0,,62813.0,,61672.0,,60291.0
Austria,1970,,,,,,59428.0,62242.0,64361.0,65839.0,66729.0,67085.0,66962.0,66412.0,65490.0,64249.0,62806.0,61277.0,59403.0,57114.0,54652.0,52247.0,49761.0,48219.0,48130.0,49023.0,49816.0,50596.0,51627.0,52890.0,54217.0,55562.0,3507355.0,46.9708649460009,,,56720.0,,59429.0,,61474.0,,62907.0,,63779.0,,64143.0,,64050.0,,63552.0,,62700.0,,61547.0
Austria,1971,,,,,,56694.0,59677.0,62321.0,64331.0,65752.0,66628.0,67012.0,66958.0,66460.0,65541.0,64277.0,62831.0,61310.0,59449.0,57178.0,54736.0,52351.0,49884.0,48362.0,48292.0,49204.0,50015.0,50811.0,51850.0,53109.0,54423.0,3526064.0,47.0111606909306,,,54109.0,,56987.0,,59532.0,,61472.0,,62849.0,,63706.0,,64095.0,,64067.0,,63618.0,,62773.0
Austria,1972,,,,,,53485.0,57144.0,59946.0,62420.0,64322.0,65687.0,66549.0,66960.0,66976.0,66529.0,65615.0,64326.0,62878.0,61365.0,59515.0,57260.0,54838.0,52473.0,50024.0,48521.0,48471.0,49402.0,50230.0,51043.0,52090.0,53346.0,3549599.0,47.0506996327719,,,51041.0,,54570.0,,57267.0,,59649.0,,61484.0,,62805.0,,63647.0,,64061.0,,64098.0,,63699.0
Austria,1973,,,,,,50156.0,54197.0,57626.0,60220.0,62524.0,64318.0,65627.0,66474.0,66914.0,66999.0,66604.0,65693.0,64380.0,62928.0,61423.0,59585.0,57347.0,54944.0,52598.0,50168.0,48684.0,48653.0,49603.0,50448.0,51279.0,52335.0,3572210.0,47.0887925661756,,,47856.0,,51754.0,,55059.0,,57547.0,,59765.0,,61495.0,,62761.0,,63588.0,,64026.0,,64128.0
Austria,1974,,,,,,47192.0,51367.0,54999.0,58107.0,60465.0,62598.0,64284.0,65536.0,66368.0,66835.0,66990.0,66646.0,65740.0,64403.0,62949.0,61453.0,59627.0,57406.0,55024.0,52698.0,50287.0,48824.0,48813.0,49781.0,50643.0,51490.0,3581050.0,47.1250503193558,,,45012.0,,49042.0,,52543.0,,55537.0,,57799.0,,59852.0,,61476.0,,62686.0,,63497.0,,63960.0
