country,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),Population living in slums (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)",Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %)
Austria,100.0,100.0,8.464,48.4584344997342,27.1300241918825,21.3284103078517,1.3485513899381,0.523812685502634,9.4,98.5,9.4,,,,,26.99064,,18.00683,76.97511,4.67500019073486,26.0799999237061,69.245002746582,1.44,409425234155.263,0.68044437424868,30.5,10.70118,23.0,38.4,7.8,13.3,17.5,25.6339685320435,80.9365853658537,,,84.2947554788773,0.778464250647036,159.8169515,,14.366588894886,67.3589166697149,18.2744944353991,102.114865434913,0.45593747231891,36.776020360823,,4315556.0,4114435.0,8429991.0,0.5,0.7,,,2.5,,42.853,62.0008552248552,83879.00390625,25.92819764092,57.147,0.511947895650249
Belgium,100.0,100.0,6.029,52.7442633911964,26.8723319957528,25.8719313954437,0.784515926576535,0.626234620534458,11.5,,9.8,,,,80.29019,32.71225,92.49424,30.41778,63.2111,1.17200005054474,21.7560005187988,77.0719985961914,1.8,497884216568.867,0.234778700910667,27.5,,22.8,36.4,8.7,14.1,18.0,20.0874528806573,80.3853658536585,,,177.765627137043,1.03819328046625,111.077829,,16.9380727262033,65.4689095291284,17.5930177446682,366.807529722589,0.620163579337378,18.0212612698916,,5653189.0,5453743.0,11106932.0,0.2,0.2,,,2.5,,2.256,68.5985629423063,30530.0,25.7045353020554,97.744,0.667241432726619
Switzerland,100.0,100.0,3.503,47.4896808914825,25.5602565852327,21.9294243062497,0.658862437211174,0.492727001396169,10.3,,8.0,,,,96.11673,40.22422,,34.95197,83.24146,3.53099989891052,21.6079998016357,74.8610000610352,1.52,668043614122.87,1.00602409742663,31.6,15.64387,22.5,39.8,8.1,12.7,16.9,25.6600696657274,82.6975609756098,,,91.0756404428552,0.687404673295181,131.8813583,,14.8684467505793,67.8013594385223,17.3301938108984,202.370199472944,1.06181932886789,21.8125926157332,,4050081.0,3946780.0,7996861.0,0.0,0.0,,,2.5,,26.347,70.3174131978639,41290.0,9.52037152924412,73.653,1.09168911257723
Germany,100.0,100.0,8.063,52.0953973406867,31.6738497635118,20.4215475771749,0.702906905077839,0.446394700206754,8.4,98.5,10.8,,,,96.73086,31.79364,100.0,25.61967,82.04736,1.56099998950958,28.193000793457,70.2460021972656,1.41,3543983909148.01,0.491992829138056,,11.1373,,,,,,27.5925039698941,80.5390243902439,,,72.121236030512,1.31126144743425,114.1126357,,13.4268014618471,65.7482093825583,20.8249891555947,230.750625466231,0.187727800567293,5.59989841553499,,40956600.0,39469223.0,80425823.0,,,,0.1,2.5,,22.83,61.5654434317287,357170.0,11.5712079354376,77.17,0.200687484378332
Denmark,100.0,100.0,4.436,53.9837957652867,26.9313543762752,27.0524413890115,1.65472753047185,0.590693621985617,10.4,98.2,9.4,,,,99.6436,,,32.28393,76.00238,2.59400010108948,19.7089996337891,77.6969985961914,1.73,327148943812.137,0.226499797192986,27.8,12.48871,22.1,37.3,9.3,14.0,17.4,20.3979173208941,80.0512195121951,,,60.3376546779721,1.35181915375287,129.9747296,,17.5683664465417,64.9418997263007,17.4897338271576,133.164372469636,0.376272242619955,25.0939948380826,,2814288.0,2777284.0,5591572.0,0.0,0.0,,0.1,2.5,,12.858,64.2842658064722,42920.0,33.4463982120414,87.142,0.588807879418738
Spain,100.0,100.0,8.972,48.4074967511606,26.1832265807277,22.2242701704328,2.30993013180229,0.914902678288477,9.7,,8.6,,,,69.87302,26.97082,89.12309,26.94193,45.60115,4.21600008010864,20.6720008850098,75.1119995117188,1.32,1336018949805.58,-2.92775050717711,35.4,9.21341,23.4,41.6,6.1,11.9,17.0,22.0317075633646,82.4268292682927,97.89454,99.67278,47.348729603877,1.41170400503936,107.6536439,,14.9751673605584,67.3820401818326,17.642792457609,93.5068371284061,0.0649259625617232,16.1427774476197,,23710580.0,23062475.0,46773055.0,1.0,1.5,,0.4,2.5,,21.098,67.4041055380044,505940.0,12.2383308569313,78.902,0.355581830036495
France,100.0,100.0,6.648,56.2593734180805,27.3718622408978,28.8875111771827,1.63179503677703,1.08317672846696,12.6,97.1,8.7,,,,80.48766,26.06286,98.45092,25.95176,63.74972,2.91899991035461,21.7600002288818,75.3209991455078,2.01,2683825225092.63,0.313134744426151,33.1,9.55435,21.8,41.3,7.9,12.6,16.5,17.8685506155676,81.9682926829268,,,46.3190742965424,2.23692601124854,97.94818377,,18.4868984707608,63.9961606703243,17.516940858915,119.914109283287,0.484005119770168,20.4063864663812,,33845370.0,31814439.0,65659809.0,0.0,0.0,,0.3,2.5,,21.122,70.2794996562626,549086.9921875,22.6825015654892,78.878,0.809085451887715
Faroe Islands,100.0,100.0,,,,,12.4894213091312,,12.9,,8.5,,,,,,,,,,,,2.6,2366301251.61847,,,,,,,,,14.6336125134969,81.1414634146341,,,88.9617075830974,,122.7389587,,,,,34.2714884729471,0.0418121386728431,,,,,47843.0,,,,,,,58.775,60.4094318148656,1396.00006103516,,41.225,0.370812910609622
United Kingdom,100.0,100.0,18.479,53.0424564923608,26.1796580720878,26.8627984202729,0.603924535695758,0.519663894357845,12.8,,8.9,,,,99.80832,36.95036,99.80832,36.95036,87.73566,1.18799996376038,19.0659999847412,79.7460021972656,1.92,2676605417645.99,1.44706044309314,32.3,,23.1,40.0,7.6,12.3,17.0,17.7604450380278,80.9048780487805,,,43.6378105005571,2.18544195437133,121.3932216,,17.5525133454605,65.3413454242577,17.1061412302818,263.30054147894,0.695315842711388,15.9088163790754,,32364512.0,31335788.0,63700300.0,0.2,0.2,,,2.5,,18.163,71.0416031000633,243610.0,25.1186691351657,81.837,1.02210925710181
Gibraltar,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2812221,,,,,3364.6,0.101103223099699,,,,,33646.0,,,,,,,0.0,,10.0,,100.0,0.101103223099699
