country,date,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),Population living in slums (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)",Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %)
Austria,1960,,,,,,64553.0,,59895.0,,56071.0,,53016.0,,50665.0,,48952.0,,47813.0,,47182.0,,46995.0,,47186.0,,47641.0,,48244.0,,49181.0,,50485.0,,51943.0,,53403.0,,55012.0,,55639.0,,54743.0,,52848.0,,51103.0,,49377.0,,47637.0,,46013.0,,44555.0,,43122.0,,3764742.0,53.4192371894841,,,67865.0
Austria,1961,,,,,,65372.0,,63689.0,,59600.0,,56135.0,,53263.0,,50955.0,,49146.0,,47771.0,,46971.0,,46787.0,,47083.0,,47574.0,,48177.0,,49114.0,,50421.0,,51881.0,,53343.0,,54954.0,,55584.0,,54693.0,,52803.0,,51063.0,,49341.0,,47603.0,,45980.0,,44521.0,,3783271.0,53.3885359293356,,,68751.0
Austria,1962,,,,,,65384.0,,62527.0,,62916.0,,59390.0,,56278.0,,53586.0,,51319.0,,49410.0,,47797.0,,46828.0,,46645.0,,47048.0,,47574.0,,48178.0,,49117.0,,50428.0,,51894.0,,53360.0,,54975.0,,55609.0,,54721.0,,52834.0,,51096.0,,49376.0,,47638.0,,46014.0,,3804090.0,53.3543174665453,,,68717.0
Austria,1963,,,,,,64778.0,,63265.0,,61575.0,,62186.0,,59219.0,,56459.0,,53945.0,,51716.0,,49707.0,,47854.0,,46715.0,,46535.0,,47043.0,,47606.0,,48211.0,,49153.0,,50468.0,,51940.0,,53412.0,,55032.0,,55671.0,,54785.0,,52899.0,,51162.0,,49443.0,,47705.0,,3825938.0,53.3171495773447,,,67987.0
Austria,1964,,,,,,63870.0,,63659.0,,62933.0,,61780.0,,61444.0,,59039.0,,56632.0,,54296.0,,52106.0,,49997.0,,47905.0,,46595.0,,46417.0,,47032.0,,47631.0,,48237.0,,49181.0,,50501.0,,51979.0,,53456.0,,55081.0,,55724.0,,54841.0,,52957.0,,51221.0,,49502.0,,3848701.0,53.2780528799873,,,66938.0
Austria,1965,,,,,,62907.0,,63752.0,,63843.0,,63287.0,,62194.0,,60672.0,,58830.0,,56776.0,,54620.0,,52470.0,,50262.0,,47932.0,,46452.0,,46276.0,,46996.0,,47631.0,,48239.0,,49185.0,,50509.0,,51992.0,,53473.0,,55103.0,,55749.0,,54869.0,,52988.0,,51255.0,,3870859.0,53.2377688410128,,,65866.0
Austria,1966,,,,,,62059.0,,63180.0,,63838.0,,63810.0,,63195.0,,62089.0,,60602.0,,58841.0,,56848.0,,54698.0,,52521.0,,50309.0,,47986.0,,46518.0,,46359.0,,47099.0,,47753.0,,48378.0,,49340.0,,50676.0,,52167.0,,53656.0,,55292.0,,55940.0,,55056.0,,53166.0,,3895084.0,53.1965160544971,,,64940.0
Austria,1967,,,,,,61194.0,,63193.0,,63428.0,,63898.0,,63753.0,,63078.0,,61960.0,,60508.0,,58830.0,,56898.0,,54754.0,,52550.0,,50336.0,,48022.0,,46566.0,,46424.0,,47183.0,,47855.0,,48499.0,,49477.0,,50824.0,,52322.0,,53818.0,,55460.0,,56110.0,,55221.0,,3921206.0,53.1544910160213,,,64031.0
Austria,1968,,,,,,60155.0,,62391.0,,63811.0,,63658.0,,63940.0,,63677.0,,62944.0,,61814.0,,60397.0,,58802.0,,56932.0,,54794.0,,52565.0,,50348.0,,48044.0,,46601.0,,46476.0,,47253.0,,47944.0,,48606.0,,49599.0,,50957.0,,52463.0,,53965.0,,55612.0,,56263.0,,3938481.0,53.1121577949081,,,62963.0
Austria,1969,,,,,,58709.0,,61147.0,,62853.0,,63896.0,,63892.0,,63986.0,,63606.0,,62813.0,,61672.0,,60291.0,,58778.0,,56969.0,,54838.0,,52583.0,,50365.0,,48070.0,,46639.0,,46530.0,,47327.0,,48036.0,,48717.0,,49725.0,,51093.0,,52606.0,,54115.0,,55768.0,,3948984.0,53.0702174256017,,,61481.0
