country,date,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),Population living in slums (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)",Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %)
Austria,2019,,,,,,,,,,,,,,,,,,,,3.86199998855591,24.4710006713867,71.6669998168945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2018,,,,49.9239537862711,28.4879030173951,21.4360507688759,1.17481807919122,,,,,,,,,,,,,3.8970000743866,24.6749992370605,71.4290008544922,,455736580716.185,2.72908309897117,,,,,,,,25.4335643082813,,,,82.9525247690029,0.735992539307036,123.5352681,,14.2979476320233,66.7004859083869,19.0015664595899,107.206926667578,0.560750838441217,36.8497527026846,,4496898.0,4350139.0,8847037.0,,,,,,,41.703,62.7064090277332,83879.00390625,,58.297,0.90957215809093
Austria,2017,100.0,100.0,7.34,49.6725857002038,28.3727926117504,21.2997930884534,1.20180047984428,0.461088216495409,10.0,,9.5,0.94266,14.24863,11.40084,,30.62837,,28.43347,79.66258,3.9300000667572,24.9220008850098,71.1480026245117,1.53,416835975862.194,2.55088075977935,,,,,,,,25.2769558796253,81.6414634146342,,,82.4739273736906,0.756179041980548,123.1192958,,14.2309193719975,66.812507305921,18.9565733220815,106.607445296677,0.694621103604983,36.7542201329014,,4478340.0,4319226.0,8797566.0,,,,,2.5,,41.906,62.7188890421138,83879.00390625,25.3801056109426,58.094,1.02047862584527
Austria,2016,100.0,100.0,7.5648,49.4317119622618,28.2562585573312,21.1754534049306,1.11272086699217,0.494351046181436,10.0,98.4,9.2,0.4712,12.968,10.66809,,29.44284,,27.44702,79.21024,4.34800004959106,25.5629997253418,70.088996887207,1.53,394052818287.788,2.03957498344849,,10.95385,,,,,,25.2018351011189,81.6414634146342,,,78.6156031940251,0.732544816508556,126.6614696,,14.1706567545806,66.9201962982639,18.9091469471555,105.869493435483,1.08139629872802,36.6996193690096,,4453787.0,4282881.0,8736668.0,,,,,2.5,,42.095,62.8374535096086,83879.00390625,25.5165744861456,57.905,1.41006179973647
Austria,2015,100.0,100.0,7.7896,49.1656923872968,28.1035328457277,21.0621595415692,1.12980504098504,0.478610160927343,9.8,98.5,9.6,0.83056,13.08167,10.86419,,29.14282,,26.93491,79.0129,4.5310001373291,25.7639999389648,69.7050018310547,1.49,381805676697.707,1.14298010071532,30.5,10.69348,22.9,38.4,7.9,13.2,17.6,25.1791045049257,81.190243902439,,,80.8720296331451,0.698138152053235,155.2154711,,14.1199793516511,67.0395429709195,18.8404776774295,104.730792682674,1.12099250236958,36.7869427725879,,4411651.0,4231048.0,8642699.0,0.7,0.7,,,2.5,,42.285,62.8760694978898,83879.00390625,26.8270027660318,57.715,1.44900148037757
Austria,2014,100.0,100.0,8.0144,48.8842940580987,27.781233869435,21.1030601886637,1.20074056404147,0.509880348078318,9.6,98.5,9.2,1.07839,12.25237,10.6243,98.92322,28.41852,,26.44067,78.10984,4.83699989318848,25.7509994506836,69.4120025634766,1.46,441996131736.508,0.661274652949004,30.5,10.41116,22.7,38.6,8.0,13.2,17.5,25.3646396008814,81.490243902439,,,81.5163242683737,0.747780095379783,150.345714,,14.174134269909,67.1662479887325,18.6596177413585,103.563324191706,0.781541632525841,36.889441147414,,4367372.0,4178984.0,8546356.0,0.2,0.2,,,2.5,,42.474,62.6537932745237,83879.00390625,26.4178983110922,57.526,1.11238523257782
Austria,2013,100.0,100.0,8.2392,48.6484193417367,27.4597926556682,21.1886266860685,1.25472121594195,0.512028691812206,9.4,98.5,9.4,,,,,27.82756,,18.60537,77.30636,4.57600021362305,25.9080009460449,69.5169982910156,1.44,430068712971.867,0.0255041006158336,30.8,10.74029,22.7,38.9,8.1,13.1,17.2,25.5249417894219,81.1365853658537,,,83.3431935848462,0.750825383084571,155.1157881,,14.2541848947002,67.2728360722279,18.4729790330719,102.7471301857,0.589387254692989,36.8679209813428,,4337527.0,4142296.0,8479823.0,0.2,0.5,,,2.5,,42.664,62.3265831085282,83879.00390625,26.4151730942712,57.336,0.919560199445851
Austria,2012,100.0,100.0,8.464,48.4584344997342,27.1300241918825,21.3284103078517,1.3485513899381,0.523812685502634,9.4,98.5,9.4,,,,,26.99064,,18.00683,76.97511,4.67500019073486,26.0799999237061,69.245002746582,1.44,409425234155.263,0.68044437424868,30.5,10.70118,23.0,38.4,7.8,13.3,17.5,25.6339685320435,80.9365853658537,,,84.2947554788773,0.778464250647036,159.8169515,,14.366588894886,67.3589166697149,18.2744944353991,102.114865434913,0.45593747231891,36.776020360823,,4315556.0,4114435.0,8429991.0,0.5,0.7,,,2.5,,42.853,62.0008552248552,83879.00390625,25.92819764092,57.147,0.511947895650249
Austria,2011,100.0,100.0,8.9966,48.3132363176456,26.7751421248366,21.538094192809,1.40191493427276,0.540030799175901,9.3,98.6,9.1,,,,,26.33883,,17.51094,76.4277,4.93800020217896,26.0259990692139,69.0370025634766,1.43,431120310088.82,2.92279763636382,30.8,10.98849,23.0,38.7,7.8,13.1,17.4,25.4474320432043,80.9829268292683,,,85.5550043383505,0.790897558452031,154.0495234,,14.522030576444,67.4248692937991,18.0531001297569,101.6417363772,0.337080841831645,36.5339303847556,,4299034.0,4092609.0,8391643.0,0.5,0.5,,,2.5,,42.885,62.2762436725454,83879.00390625,25.4279852755305,57.115,-0.158921841854284
Austria,2010,100.0,100.0,9.5292,48.1811872667783,26.373860988558,21.8073262782203,1.26732767225745,0.602306808419294,9.4,98.5,9.2,,,,,26.16739,,17.51952,76.5561,5.21299982070923,24.9080009460449,69.8789978027344,1.44,391892746544.69,1.83709459152502,30.3,10.78913,22.9,38.4,8.1,13.2,17.5,25.5349942466396,80.5804878048781,,,79.5036404085294,0.821232711530621,145.5537959,,14.7166647502856,67.4849514545213,17.798383795193,101.287430158942,0.240394299500766,36.0513570433141,,4287444.0,4075960.0,8363404.0,0.5,0.5,,,2.5,,42.601,62.2941578518769,83879.00390625,25.2816355062362,57.399,-0.253173145767403
