country,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),Population living in slums (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)",Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %)
Austria,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2016.0,2017.0,2017.0,2017.0,2017.0,,2017.0,,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2016.0,2015.0,2015.0,2015.0,2015.0,2015.0,2017.0,2017.0,,,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017,2017,2017.0,,2017.0,2017.0,2017,2015.0,2015.0,,,2017.0,,2017.0,2017.0,2017,2017.0,2017.0,2017.0
Belgium,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2016.0,2015.0,2015.0,2015.0,2015.0,2015.0,2017.0,2017.0,,,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017,2017,2017.0,,2017.0,2017.0,2017,2015.0,2015.0,,,2017.0,,2017.0,2017.0,2017,2017.0,2017.0,2017.0
Switzerland,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,,2017.0,2018.0,2015.0,2018.0,2018.0,,,2018.0,2018.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2016.0,2015.0,2015.0,2015.0,2015.0,2015.0,2017.0,2017.0,,,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017,2017,2017.0,,2017.0,2017.0,2017,2015.0,2015.0,,,2017.0,,2017.0,2017.0,2017,2017.0,2017.0,2017.0
Germany,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2017.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2016.0,2015.0,2015.0,2015.0,2015.0,2015.0,2017.0,2017.0,,,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017,2017,2017.0,,2017.0,2017.0,2017,2015.0,2015.0,,2017.0,2017.0,,2017.0,2017.0,2017,2017.0,2017.0,2017.0
Denmark,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2016.0,2017.0,2018.0,2018.0,2018.0,2018.0,2018.0,,2018.0,2018.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,,2015.0,2015.0,2015.0,2015.0,2015.0,2017.0,2017.0,,,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017,2017,2017.0,,2017.0,2017.0,2017,2015.0,2015.0,,2017.0,2017.0,,2017.0,2017.0,2017,2017.0,2017.0,2017.0
Spain,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,,2017.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2016.0,2015.0,2015.0,2015.0,2015.0,2015.0,2017.0,2017.0,2018.0,2018.0,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017,2017,2017.0,,2017.0,2017.0,2017,2015.0,2015.0,,2017.0,2017.0,,2017.0,2017.0,2017,2017.0,2017.0,2017.0
France,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2016.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2016.0,2015.0,2015.0,2015.0,2015.0,2015.0,2017.0,2017.0,,,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017,2017,2017.0,,2017.0,2017.0,2017,2015.0,2015.0,,2017.0,2017.0,,2017.0,2017.0,2017,2017.0,2017.0,2017.0
Faroe Islands,2017,2017,,,,,2017.0,,2017.0,,2017.0,,,,,,,,,,,,2017.0,2016.0,,,,,,,,,2017.0,2017.0,,,2016.0,,2017.0,,,,,2017,2017,,,,,2017,,,,,,,2017.0,2017.0,2017,,2017.0,2017.0
United Kingdom,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2016.0,2015.0,2015.0,2015.0,2015.0,2015.0,2017.0,2017.0,,,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017,2017,2017.0,,2017.0,2017.0,2017,2015.0,2015.0,,2017.0,2017.0,,2017.0,2017.0,2017,2017.0,2017.0,2017.0
Gibraltar,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,,,,,2017,2017,,,,,2017,,,,,,,2017.0,,2017,,2017.0,2017.0
Greenland,2017,2017,,,,,2017.0,,2017.0,,2017.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,,,,2017.0,2016.0,2017.0,,,,,,,,2017.0,2015.0,,,2016.0,,2017.0,,,,,2017,2017,,,,,2017,,,,,,,2017.0,2017.0,2017,,2017.0,2017.0
Isle of Man,2017,2017,,,,,2016.0,,,,,,,,,,,,,,,,,2016.0,2016.0,,,,,,,,2016.0,,,,,,,,,,,2017,2017,,,,,2017,,,,,,,2017.0,2016.0,2017,,2017.0,2017.0
Ireland,2017,2017,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2015.0,2016.0,2015.0,2015.0,2015.0,2015.0,2015.0,2017.0,2017.0,,,2017.0,2017.0,2017.0,,2017.0,2017.0,2017.0,2017,2017,2017.0,,2017.0,2017.0,2017,2015.0,2015.0,,2017.0,2017.0,,2017.0,2017.0,2017,2017.0,2017.0,2017.0
