country,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),Population living in slums (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)",Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %)
Austria,100.0,100.0,7.34,49.6725857002038,28.3727926117504,21.2997930884534,1.20180047984428,0.461088216495409,10.0,98.4,9.5,0.94266,14.248629999999999,11.400839999999999,,30.62837,,28.43347,79.66258,3.9300000667572004,24.922000885009798,71.1480026245117,1.53,416835975862.194,2.5508807597793504,30.5,10.95385,22.9,38.4,7.9,13.2,17.6,25.2769558796253,81.6414634146342,,,82.4739273736906,0.7561790419805479,123.11929579999999,,14.2309193719975,66.812507305921,18.9565733220815,106.607445296677,0.694621103604983,36.754220132901395,,4478340.0,4319226.0,8797566.0,0.7,0.7,,,2.5,,41.906000000000006,62.7188890421138,83879.00390625,25.380105610942604,58.093999999999994,1.02047862584527
Belgium,100.0,100.0,4.651,55.329079400808105,28.8664765965663,26.4626028042418,0.662105837201386,0.635247711867519,10.5,,9.6,0.64815,34.68994,14.917,86.50417,36.38061,95.87033000000001,35.12408,69.15045,1.16400003433228,20.756999969482397,78.0800018310547,1.68,494901708704.269,1.73438965580127,27.7,12.33788,22.7,36.5,8.6,14.0,18.1,19.6144812597271,81.4390243902439,,,169.623378791288,0.910370732936129,104.7403936,,17.036479263815597,64.3794416479243,18.5840790882601,375.66571994716,0.385228018372369,18.250677833757,,5766141.0,5609017.0,11375158.0,0.0,0.2,,,2.5,,2.039,68.9441440702955,30530.0,23.6628720474436,97.961,0.42811662435789705
Switzerland,100.0,100.0,2.763,49.9325804984945,27.6338708621625,22.298709636332102,0.664136890926238,0.42688757488827705,10.3,,7.9,2.93416,36.949290000000005,19.96821,97.08525999999999,,,38.98196,85.68177,3.1089999675750697,20.5149993896484,76.3769989013672,1.54,678965423322.021,1.6166921547901898,32.3,15.526729999999999,22.6,40.2,7.8,12.5,16.8,24.7369375262134,83.60243902439029,,,83.8562584253963,0.681602395155031,131.1359393,,14.8724946793942,66.6966381907622,18.4308671298436,213.88399107017202,0.933155888738653,21.7517125798143,,4263869.0,4187971.0,8451840.0,0.0,0.0,,,2.5,,26.239,71.47983235817229,41290.400390625,10.4934185956575,73.76100000000001,0.9629864390238949
Germany,100.0,100.0,8.095,53.426417753932895,32.789507969841104,20.6369097840917,0.777215668804579,0.414802293589366,9.5,98.7,11.3,1.25296,25.14988,11.19859,96.33225,35.58818,100.0,25.741889999999998,83.4613,1.2769999504089398,27.4039993286133,71.3190002441406,1.57,3693204332229.78,2.1571094702999396,31.7,10.93897,22.6,39.7,7.8,12.9,17.0,27.9746074560467,80.990243902439,,,70.70004162005141,1.2341411022353501,132.758759,,13.4506883625113,65.177823589612,21.3714880478767,236.595494618731,0.37372455989583797,5.542035525371681,,41919970.0,40737032.0,82657002.0,0.0,0.0,,0.1,2.5,,22.739,61.403485753690504,357580.0,11.356557452079999,77.26100000000001,0.42162539154491707
Denmark,100.0,100.0,4.123,56.6199956477692,30.7907014399581,25.829294207811103,1.42682293200782,0.502371528529009,10.6,94.4,8.2,0.77864,32.35884,12.725710000000001,93.80911,37.11665,,37.11665,79.27773,2.2100000381469704,18.804000854492198,78.98699951171879,1.79,329865553842.833,2.2623690079234104,28.2,,21.8,37.7,9.4,13.9,17.2,20.1099416537262,81.0048780487805,,,59.379646561497296,1.1460161693832198,124.43449140000001,,16.4916924766681,63.848814624004405,19.659492899327603,137.294117647059,0.643350903737356,25.7744496976087,,2897965.0,2867015.0,5764980.0,0.2,0.2,,0.1,2.5,,12.243,65.3719702879127,42920.0,33.3234452082608,87.757,0.7744611852936
Spain,100.0,100.0,7.725,51.1697189700603,28.9427241525926,22.2269948174677,2.68665776687167,0.8549748478177491,8.4,,9.0,0.66018,21.936339999999998,12.92428,77.72236,31.16157,91.91672,31.106409999999997,50.416990000000006,4.35300016403198,20.056999206543,75.5899963378906,1.34,1314314164402.2,2.97918240061863,36.2,9.973239999999999,23.5,42.1,5.8,11.7,17.0,21.874461446654,83.32926829268291,98.4365,99.71555,51.0921983638082,1.2259930602176599,112.5612499,,14.703337984679502,66.15081328814101,19.1458487271796,93.2678044400906,0.23564850716264102,17.163179442420198,,23723820.0,22869416.0,46593236.0,1.0,1.5,,0.4,2.5,,19.92,66.10592813801371,505935.0,13.807114520127001,80.08,0.535799084743226
France,100.0,100.0,4.727,60.716987788683994,31.6114191042705,29.1055686844134,1.55176568137781,1.01473105231048,11.4,97.4,9.0,0.8363799999999999,18.00167,9.4957,84.2148,30.22735,97.56846999999999,30.13079,70.07549,2.62899994850159,20.4860000610352,76.8850021362305,1.92,2586285406561.51,2.2602027222695,32.7,9.60255,21.7,40.9,7.9,12.8,16.7,17.2059764808199,82.5243902439024,,,44.613676320203105,2.34967851446849,106.4394347,,18.109826687921696,62.2211765433074,19.668996768770896,122.115405252835,0.00804038667515457,20.2282166731652,,34481316.0,32383828.0,66865144.0,0.0,0.2,,0.3,2.5,,19.82,70.30286314580471,549086.9921875,23.8061003118433,80.18,0.336590253543727
Faroe Islands,100.0,100.0,,,,,19.2805217019457,,13.1,,8.9,,,,,,,,,,,,2.5,2689157270.82312,,,,,,,,,16.6442163780201,82.4,,,80.7303526709388,,116.47389869999999,,,,,34.6210586582365,0.32744785952031297,,,,,48331.0,,,,,,,58.086000000000006,52.6411161000641,1396.00006103516,,41.913999999999994,0.653758952704235
United Kingdom,100.0,100.0,13.37,56.0698960446915,28.546955192896103,27.5229408517953,0.593034153985917,0.43653921737072104,11.4,,9.2,1.00102,33.922129999999996,11.99042,99.74781999999999,44.09417,100.0,44.09417,77.11173000000001,1.1590000391006499,18.2369995117188,80.6039962768555,1.79,2637866340434.13,1.8229277738698402,33.2,13.8311,23.0,40.6,7.5,12.2,16.8,17.9257319251435,81.1560975609756,,,41.1173600183813,1.7710938428571499,118.62095579999999,,17.63500937043,64.0738555899797,18.2911350395904,273.049472988054,0.7038060679379019,16.2339994869574,,33464674.0,32594185.0,66058859.0,0.2,0.2,,0.2,2.5,,16.857,70.56433139851158,243610.0,25.7195326568857,83.14299999999999,1.01339054430114
Gibraltar,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.66449240000001,,,,,3372.8,-0.0266805011587876,,,,,33728.0,,,,,,,0.0,,10.0,,100.0,-0.0266805011587876
